Nr,TID,PID,x [0],y [0],t [sec],I [val],Len [0],D2S [0],D2R [0],D2P [0],v [0/sec],? [deg],?? [deg]
29,15,1,94.15,41.748,0,69.5,0,0,NA,NA,NA,NA,NA
30,15,2,94.308,43.247,0,108.1,1.508,1.508,NA,1.508,NA,83.991,NA
31,16,1,98.648,41.906,0,59.3,0,0,NA,NA,NA,NA,NA
32,16,2,98.491,43.8,0,95.1,1.901,1.901,NA,1.901,NA,94.764,NA
33,17,1,102.436,42.379,0,83.3,0,0,NA,NA,NA,NA,NA
34,17,2,102.594,44.273,0,109.7,1.901,1.901,NA,1.901,NA,85.236,NA
35,18,1,106.856,42.774,0,68.3,0,0,NA,NA,NA,NA,NA
36,18,2,106.698,44.589,0,114.1,1.822,1.822,NA,1.822,NA,94.97,NA
37,19,1,110.644,43.011,0,78.7,0,0,NA,NA,NA,NA,NA
38,19,2,110.644,44.905,0,116.8,1.894,1.894,NA,1.894,NA,90,NA
39,20,1,96.518,42.616,0,102.1,0,0,NA,NA,NA,NA,NA
40,20,2,96.597,44.589,0,123.1,1.975,1.975,NA,1.975,NA,87.709,NA
41,21,1,97.307,45.22,0,125.4,0,0,NA,NA,NA,NA,NA
42,21,2,97.386,47.193,0,115.2,1.975,1.975,NA,1.975,NA,87.709,NA
43,22,1,67.554,38.986,0,78.7,0,0,NA,NA,NA,NA,NA
44,22,2,67.554,40.643,0,96.3,1.657,1.657,NA,1.657,NA,90,NA
45,23,1,67.318,41.038,0,111.2,0,0,NA,NA,NA,NA,NA
46,23,2,67.081,42.695,0,108.8,1.674,1.674,NA,1.674,NA,98.13,NA
47,24,1,66.528,43.247,0,108.2,0,0,NA,NA,NA,NA,NA
48,24,2,65.818,44.51,0,82.5,1.449,1.449,NA,1.449,NA,119.358,NA
49,25,1,64.792,45.299,0,85.9,0,0,NA,NA,NA,NA,NA
50,25,2,64.398,46.799,0,79.2,1.551,1.551,NA,1.551,NA,104.744,NA
51,26,1,59.584,50.587,0,96.7,0,0,NA,NA,NA,NA,NA
52,26,2,58.716,52.007,0,99.7,1.665,1.665,NA,1.665,NA,121.43,NA
53,27,1,52.876,53.428,0,92.2,0,0,NA,NA,NA,NA,NA
54,27,2,52.718,54.77,0,69.9,1.351,1.351,NA,1.351,NA,96.71,NA
55,28,1,52.402,42.222,0,65.6,0,0,NA,NA,NA,NA,NA
56,28,2,52.56,43.8,0,80.6,1.586,1.586,NA,1.586,NA,84.289,NA
57,29,1,50.824,41.748,0,47.8,0,0,NA,NA,NA,NA,NA
